,Ticker,Sector,Price,Avg Volume,Volatility,Dividend Yield,Score
80,CHCO,Financial Services,118.01,55424,0.2352212965,0.0242,0.1028818409
81,PTEN,Energy,7.91,7528582,0.3960917348,0.0405,0.1022490409
82,UCBI,Financial Services,27.83,563924,0.3215205274,0.0328,0.1020152594
83,MNRO,Consumer Cyclical,25.89,598677,0.4292304403,0.0433,0.1008782135
84,OXM,Consumer Cyclical,85.15,318354,0.3139243844,0.0312,0.09938699112
85,CBU,Financial Services,57.59,310937,0.3214943652,0.0319,0.09922413407
86,STBA,Financial Services,42.29,163967,0.3204258676,0.0312,0.09737041591
87,CALM,Consumer Defensive,69.38,544812,0.2829075788,0.0273,0.09649794507
88,HNI,Industrials,51.81,253024,0.2651964884,0.0255,0.09615511936
89,NBHC,Financial Services,41.17,248553,0.2830359261,0.0272,0.09610087447
90,TRMK,Financial Services,32.19,305638,0.2983450036,0.0286,0.09586217182
91,BKE,Consumer Cyclical,43.98,382040,0.3322993648,0.0318,0.09569684256
92,NBTB,Financial Services,44.83,226993,0.3184327471,0.030299999,0.09515352701
93,TRN,Industrials,31.9,657458,0.3743368741,0.035099998,0.09376580408
94,UFCS,Financial Services,20.5,132069,0.3335053901,0.0312,0.0935517114
95,FUN,Consumer Cyclical,40.88,1951487,0.3199640969,0.0294,0.09188530926
96,HP,Energy,29.85,1554270,0.3647591974,0.0335,0.09184141275
97,WLY,Communication Services,46.86,335340,0.3304441939,0.0301,0.09108951089
98,MERC,Basic Materials,6.74,358161,0.4915270157,0.044499997,0.09053418344
99,JXN,Financial Services,83.6,742159,0.3726885849,0.0335,0.08988737879
100,STC,Financial Services,76.01,176779,0.2927326035,0.026300002,0.08984309123
101,HI,Industrials,27.3,484964,0.3636443983,0.0326,0.0896480192
102,LCII,Consumer Cyclical,117.65,254864,0.3995565067,0.0357,0.08934906429
103,BHLB,Financial Services,26.5,287161,0.3056125126,0.0272,0.08900159148
104,VBTX,Financial Services,24.8,377840,0.3636195313,0.0323,0.0888291118
105,DCOM,Financial Services,25.73,223500,0.4380228259,0.038900003,0.08880816409
106,WAFD,Financial Services,35.73,494033,0.3283662907,0.0291,0.08862054609
107,LKFN,Financial Services,65.48,121666,0.3331299671,0.0293,0.08795366042
108,RILY,Financial Services,6.06,3161800,1.348344911,0.118,0.0875146997
109,CAKE,Consumer Cyclical,37.37,940162,0.3313455252,0.028900001,0.08722013368
110,VIRT,Financial Services,32.04,1483685,0.3440948578,0.03,0.08718526103
111,OFG,Financial Services,43.87,229651,0.2625190782,0.0228,0.08685083063
112,KTB,Consumer Cyclical,74.88,412095,0.3100770239,0.026700001,0.08610764082
113,CRC,Energy,49.93,895066,0.3610587849,0.031,0.08585859505
114,CPK,Utilities,122.55,116033,0.2450813058,0.0209,0.08527782211
115,ARCH,Basic Materials,128.13,431056,0.379089132,0.0323,0.08520423635
116,CWT,Utilities,54.98,283975,0.2408284517,0.020399999,0.08470759522
117,RNST,Financial Services,32.8,679043,0.3204068944,0.026800001,0.08364364646
118,GDEN,Consumer Cyclical,32.58,218022,0.3682668094,0.0307,0.08336347239
119,CABO,Communication Services,336.92,113367,0.4274574308,0.035,0.08187949834
120,CSGS,Technology,46.93,208850,0.3131271439,0.0256,0.08175592726
121,BKU,Financial Services,36.03,750290,0.3946961861,0.0322,0.08158173587
122,SXT,Basic Materials,75.53,154625,0.2679382741,0.0217,0.08098880265
123,WKC,Energy,29,607630,0.2913189348,0.0234,0.08032433599
124,PRK,Financial Services,170,60180,0.3125773201,0.0249,0.07966029012
125,SBCF,Financial Services,27.11,444520,0.3349335333,0.026600001,0.07941874537
126,HTH,Financial Services,32.33,329788,0.2670764012,0.021,0.0786291859
